,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
57,lllaan_,no location,female,no rank,6,44,113,2018-11-27 13:04:00,2019-03-14 13:35:44,feed,我发表了头条文章:《混油皮冬季水乳怎么选？dprogram蓝色系列有妙招》O混油皮冬季水乳怎么选？dprogram蓝色系列有妙招​,4310954403668364,0,5, 2
58,今天仙女也在搬砖啊,no location,female,no rank,524,452,12025,2018-11-25 15:21:00,2019-03-14 13:35:45,feed,每次想不到要买什么蜜粉的时候就和自己说，要不把elegance那个27g的买了吗，最后还是下不了狠心Dprogram新出的蜜粉饼真的蛮好用的，出门的时候是matte妆效回来还是matte，对混油皮来说不干！而且这次三多爸爸给他弄了一个还算可人的壳子！​,4310264054567321,0,1,0
59,沈小黑很邋遢,浙江杭州,female,Lv.38,437,380,3229,2018-11-19 23:22:00,2019-03-14 13:35:53,feed,我的妈呀双11凑单买的豆乳洁面用完简直拔干到炸裂！！！想偷偷懒卸妆洁面一起搞定的结果就是这么丧皂基里感觉能回购的只有dprogram还是老老实实素颜上班吧​,4308210632760884,0,3, 2
60,胖胖要加油呀,no location,no gender,no rank,no follow,no follower,no weibo,2018-11-16 17:53:00,2019-03-14 13:39:12,feed,#空瓶记录#20/100:来自@Arya_pan的推荐，资生堂的dprogram发挥很稳定，一个夏天刚刚好​,4307040739954639,0,18, 1
61,忽然君,no location,no gender,no rank,no follow,no follower,no weibo,2018-11-15 08:51:00,2019-03-14 13:39:15,feed,今日，用了欧莱雅的小黑瓶，再用dprogram的蓝色乳液，然后用苏菲娜蓝小花，结果，搓泥了……严重地搓泥了……明明这欧莱雅小黑瓶很干啊！比我用过的所有精华都干（而且我还是油皮哎！），不了解它是什么构造。。。我心心念念还是之前用的purid的臻颜好​,4306541965821440,0,22, 2
62,阿喂喂喂喂w,no location,no gender,no rank,no follow,no follower,no weibo,2018-11-13 17:37:00,2019-03-14 13:39:17,feed,需要靠谱日代帮带资生堂的dprogram蓝色水乳~要有小票的​,4305949559209178,0,28, 3
63,小小小22,no location,no gender,no rank,no follow,no follower,no weibo,2018-11-10 23:43:00,2019-03-14 13:39:18,feed,2018-11高松-直島-豐島-小豆島-高松。d1一個nightprogram看著光與大自然的變奏再來一個視覺與味覺之旅，在Bernesehse住一晚是一生人的一次。d2因南瓜錯過了monet匆忙走一轉地中美術館，再到豐島踩單車美術官跟水珠玩遊戲，晚上到小豆島。有人情味udon再來在地魚生。d3天使之路走一回，上​展开全文c,4304954488900814,0,0, 3
64,泥巴7er,no location,no gender,no rank,no follow,no follower,no weibo,not detected,2019-03-14 13:39:22,feed,#跟着日杂买买买#其三，这次来广州带了个随身包，液体的粉底是不愣够托运的，所以我带了这个粉饼。我看很多博主都说dprogram是资生堂旗下一个糊的很的主打适合敏感肌痘肌的系列。其实以前我是不认识的…在日本药妆店看到这个新品粉饼包装还挺好看的，在手背试了一下粉感也很细，手背毛孔一下子柔和​展开全文c,4304458924230411,11,104, 133
65,不可数单词,no location,no gender,no rank,no follow,no follower,no weibo,2018-11-02 13:01:00,2019-03-14 13:39:25,feed,dprogram（30g）真的浮粉啊……不如完美意境的bb（40g）还是完美意境的三倍价格……干皮受不了了​,4301893939250893,0,0,0
66,-橙柚,no location,no gender,no rank,no follow,no follower,no weibo,2018-11-01 20:26:00,2019-03-14 13:39:27,feed,💛喜爱dprogram💛​,4301643555799743,0,5,0
